House,Type,KWh,Timestamp
Casa-07,APORTA,1.25,2026-08-03T08:00:00
Casa-06,APORTA,2.08,2026-08-03T08:03:00
Casa-08,APORTA,1.54,2026-08-03T08:06:00
Casa-08,APORTA,2.04,2026-08-03T08:09:00
Casa-06,APORTA,2.79,2026-08-03T08:12:00
Casa-03,APORTA,0.71,2026-08-03T08:15:00
Casa-09,APORTA,2.88,2026-08-03T08:18:00
Casa-02,APORTA,4.73,2026-08-03T08:21:00
Casa-09,APORTA,0.76,2026-08-03T08:24:00
Casa-08,APORTA,5.94,2026-08-03T08:27:00
Casa-07,APORTA,1.62,2026-08-03T08:30:00
Casa-01,APORTA,4.00,2026-08-03T08:33:00
Casa-09,APORTA,3.71,2026-08-03T08:36:00
Casa-09,CONSUME,2.81,2026-08-03T08:39:00
Casa-02,APORTA,0.81,2026-08-03T08:42:00
Casa-08,CONSUME,1.19,2026-08-03T08:45:00
Casa-03,CONSUME,2.24,2026-08-03T08:48:00
Casa-07,APORTA,0.77,2026-08-03T08:51:00
Casa-07,APORTA,0.80,2026-08-03T08:54:00
Casa-05,CONSUME,4.27,2026-08-03T08:57:00
