Fecha,Vivienda,Tipo,kWh
2026-08-16,Casa-01,APORTA,8.15
2026-08-16,Casa-01,CONSUME,3.09
2026-08-16,Casa-02,APORTA,4.80
2026-08-16,Casa-02,CONSUME,2.14
2026-08-16,Casa-03,APORTA,4.26
2026-08-16,Casa-03,CONSUME,2.88
2026-08-16,Casa-04,APORTA,8.41
2026-08-16,Casa-04,CONSUME,3.34
2026-08-16,Casa-05,APORTA,6.04
2026-08-16,Casa-05,CONSUME,4.09
2026-08-17,Casa-01,APORTA,3.69
2026-08-17,Casa-01,CONSUME,1.71
2026-08-17,Casa-02,APORTA,3.56
2026-08-17,Casa-02,CONSUME,1.58
2026-08-17,Casa-03,APORTA,4.83
2026-08-17,Casa-03,CONSUME,3.79
2026-08-17,Casa-04,APORTA,2.59
2026-08-17,Casa-04,CONSUME,2.97
2026-08-17,Casa-05,APORTA,4.59
2026-08-17,Casa-05,CONSUME,4.96
2026-08-18,Casa-01,APORTA,4.35
2026-08-18,Casa-01,CONSUME,4.44
2026-08-18,Casa-02,APORTA,2.91
2026-08-18,Casa-02,CONSUME,3.05
2026-08-18,Casa-03,APORTA,6.31
2026-08-18,Casa-03,CONSUME,4.84
2026-08-18,Casa-04,APORTA,5.27
2026-08-18,Casa-04,CONSUME,1.54
2026-08-18,Casa-05,APORTA,5.03
2026-08-18,Casa-05,CONSUME,2.02
2026-08-19,Casa-01,APORTA,4.44
2026-08-19,Casa-01,CONSUME,3.66
2026-08-19,Casa-02,APORTA,3.21
2026-08-19,Casa-02,CONSUME,1.82
2026-08-19,Casa-03,APORTA,4.25
2026-08-19,Casa-03,CONSUME,2.04
2026-08-19,Casa-04,APORTA,4.04
2026-08-19,Casa-04,CONSUME,2.11
2026-08-19,Casa-05,APORTA,4.40
2026-08-19,Casa-05,CONSUME,1.71
2026-08-20,Casa-01,APORTA,3.67
2026-08-20,Casa-01,CONSUME,2.92
2026-08-20,Casa-02,APORTA,5.83
2026-08-20,Casa-02,CONSUME,3.48
2026-08-20,Casa-03,APORTA,5.63
2026-08-20,Casa-03,CONSUME,3.90
2026-08-20,Casa-04,APORTA,4.29
2026-08-20,Casa-04,CONSUME,3.21
2026-08-20,Casa-05,APORTA,5.20
2026-08-20,Casa-05,CONSUME,3.18
2026-08-21,Casa-01,APORTA,6.28
2026-08-21,Casa-01,CONSUME,2.78
2026-08-21,Casa-02,APORTA,7.20
2026-08-21,Casa-02,CONSUME,2.15
2026-08-21,Casa-03,APORTA,5.41
2026-08-21,Casa-03,CONSUME,1.81
2026-08-21,Casa-04,APORTA,7.15
2026-08-21,Casa-04,CONSUME,5.07
2026-08-21,Casa-05,APORTA,7.66
2026-08-21,Casa-05,CONSUME,2.53
2026-08-22,Casa-01,APORTA,6.53
2026-08-22,Casa-01,CONSUME,4.41
2026-08-22,Casa-02,APORTA,5.09
2026-08-22,Casa-02,CONSUME,5.22
2026-08-22,Casa-03,APORTA,7.99
2026-08-22,Casa-03,CONSUME,4.04
2026-08-22,Casa-04,APORTA,5.84
2026-08-22,Casa-04,CONSUME,2.00
2026-08-22,Casa-05,APORTA,2.71
2026-08-22,Casa-05,CONSUME,1.98
2026-08-23,Casa-01,APORTA,4.08
2026-08-23,Casa-01,CONSUME,4.22
2026-08-23,Casa-02,APORTA,8.48
2026-08-23,Casa-02,CONSUME,3.49
2026-08-23,Casa-03,APORTA,4.26
2026-08-23,Casa-03,CONSUME,2.36
2026-08-23,Casa-04,APORTA,6.09
2026-08-23,Casa-04,CONSUME,2.87
2026-08-23,Casa-05,APORTA,6.20
2026-08-23,Casa-05,CONSUME,2.09
2026-08-24,Casa-01,APORTA,5.75
2026-08-24,Casa-01,CONSUME,4.09
2026-08-24,Casa-02,APORTA,6.96
2026-08-24,Casa-02,CONSUME,3.91
2026-08-24,Casa-03,APORTA,7.21
2026-08-24,Casa-03,CONSUME,3.16
2026-08-24,Casa-04,APORTA,8.45
2026-08-24,Casa-04,CONSUME,4.81
2026-08-24,Casa-05,APORTA,4.87
2026-08-24,Casa-05,CONSUME,2.98
2026-08-25,Casa-01,APORTA,7.78
2026-08-25,Casa-01,CONSUME,2.58
2026-08-25,Casa-02,APORTA,4.81
2026-08-25,Casa-02,CONSUME,4.99
