Difficulty,Threads,AvgTimeSeconds,AvgHashRate,Speedup,Efficiency
4,1,0.0300,1801636,1.000,100.0
4,2,0.0169,3209081,1.776,88.8
4,4,0.0086,6145029,3.474,86.9
4,8,0.0059,8706936,5.050,63.1
4,16,0.0067,9381315,4.482,28.0
4,24,0.0029,9043484,10.372,43.2
5,1,0.2876,1600217,1.000,100.0
5,2,0.1675,2735930,1.717,85.9
5,4,0.0866,5012425,3.321,83.0
5,8,0.0592,8063582,4.858,60.7
5,16,0.0518,9358135,5.550,34.7
5,24,0.0355,11241119,8.102,33.8
6,1,7.0221,1511493,1.000,100.0
6,2,3.7706,2812639,1.862,93.1
6,4,2.0839,5140302,3.370,84.2
6,8,1.2970,8093228,5.414,67.7
6,16,1.1679,9275479,6.013,37.6
6,24,1.0048,10618532,6.988,29.1
